T1_FARM_CARROT_SEED,Nasiona Marchwi
T2_FARM_BEAN_SEED,Nasiona Fasoli
T3_FARM_WHEAT_SEED,Nasiona pszenicy
T4_FARM_TURNIP_SEED,Nasiona Rzepy
T5_FARM_CABBAGE_SEED,Nasiona Kapusty
T6_FARM_POTATO_SEED,Nasiona Ziemniaków
T7_FARM_CORN_SEED,Nasiona Kukurydzy
T8_FARM_PUMPKIN_SEED,Nasiona dyni
T2_FARM_AGARIC_SEED,Nasiona Magicznego Muchomora
T3_FARM_COMFREY_SEED,Nasiona Żywokostu Jasnolistego
T4_FARM_BURDOCK_SEED,Nasiona Łopianu Większego
T5_FARM_TEASEL_SEED,Nasiona Szczeci Smoczej
T6_FARM_FOXGLOVE_SEED,Nasiona Naparstnicy Drobnej
T7_FARM_MULLEIN_SEED,Nasiona Dziewanny Rdzawej
T8_FARM_YARROW_SEED,Nasiona Krwawnika Cmentarnego
T3_FARM_OX_BABY,Cielę Czeladnika
T4_FARM_OX_BABY,Cielę Wołu Adepta
T5_FARM_OX_BABY,Cielę Wołu Znawcy
T6_FARM_OX_BABY,Cielę Wołu Mistrza
T7_FARM_OX_BABY,Cielę Wołu Wszechmistrza
T8_FARM_OX_BABY,Cielę Wołu Starszego
T3_FARM_OX_GROWN,Wół Czeladnika
T4_FARM_OX_GROWN,Wół Adepta
T5_FARM_OX_GROWN,Wół Znawcy
T6_FARM_OX_GROWN,Wół Mistrza
T7_FARM_OX_GROWN,Wół Wszechmistrza
T8_FARM_OX_GROWN,Wół Starszego
T3_FARM_HORSE_BABY,Źrebak Czeladnika
T4_FARM_HORSE_BABY,Źrebak Adepta
T5_FARM_HORSE_BABY,Źrebak Znawcy
T6_FARM_HORSE_BABY,Źrebak Mistrza
T7_FARM_HORSE_BABY,Źrebak Wszechmistrza
T8_FARM_HORSE_BABY,Źrebak Starszego
T3_FARM_HORSE_GROWN,Koń Czeladnika
T4_FARM_HORSE_GROWN,Koń Adepta
T5_FARM_HORSE_GROWN,Koń Znawcy
T6_FARM_HORSE_GROWN,Koń Mistrza
T7_FARM_HORSE_GROWN,Koń Wszechmistrza
T8_FARM_HORSE_GROWN,Koń Starszego
